panel	participant	line	also_matches	pm	label
run 73	P-7	data layer / API		7.0	Storage and DB/API layer: Lustre archive and working files, DB schema, inter-component contracts
run 73	P-7	NOC		7.0	NOC: state of remote PoPs, cluster and queues
run 73	P-7	portal		8.0	User portal
run 73	P-7	CDR		3.0	CDR / billing data capture (billing itself out)
run 73	P-7	real-stream / load testing	worker framework	8.0	Integration-test harness on the real stream with comparison to the old system
run 73	P-7	load / burst rig (a built thing)		5.0	Load and burst rig to ~30/s nominal with ~10× peak across 16–20 nodes and 10–20 PoPs, and tuning to it
run 73	P-7	old-system / reused integration		4.0	Coexistence and integration with v1 through the transition
run 73	P-7	rollout / cutover		4.0	Rollout to production traffic, cutover, readiness to decommission v1
run 73	P-7	PM		14.0	Project management and coordination — one line: one PM-equivalent plus scrum ceremony ownership across the ~14-month span the 120 pm of work lines imply
run 73	P-8	immersion		10.0	Domain immersion, discussions, architecture and technology selection (DHT etc.), at the blended team's width
run 73	P-8	render workers	worker framework	5.0	Render-worker host: printer-driver harness, job intake, process isolation and crash recovery
run 73	P-8	render workers		10.0	Format renderers, 8–10 formats, each integrated and stabilised against real documents
run 73	P-8	OCR		5.0	OCR workers and TIFF→PDF conversion on a third-party library
run 73	P-8	delivery-control core		20.0	Delivery-control orchestrator: watchdogs + tokens, unordered status store, per-fax status, resume, failure survival
run 73	P-8	cluster management		5.0	Cluster runtime: job distribution across ~16–20 Windows nodes on the private network
run 73	P-8	cluster management		3.0	Cluster management tool: queue lengths, node state
run 73	P-8	data layer / API		7.0	Storage and DB layer plus the inter-component API (Lustre archive and working files, DBMS)
run 73	P-8	Tx parser		6.0	Tx path: inbound-email parser, number extraction, TIFF archive packaging, transport to the PoP and handoff to the existing routing
run 73	P-8	Rx path		6.0	Rx path in the data centre: TIFF intake from the 10–20 PoPs, per-user configuration, page-wise TIFF or PDF assembly, email dispatch
run 73	P-8	NOC		7.0	NOC: state of the remote PoPs, the cluster and the queues
run 73	P-8	portal		8.0	User portal: per-user fax configuration, history
run 73	P-8	CDR		3.0	CDR and billing-data capture and persistence (billing itself excluded)
run 73	P-8	old-system / reused integration		5.0	Integration with the old system and coexistence through the transition
run 73	P-8	real-stream / load testing	worker framework	8.0	Integration-test harness on the real message stream, comparing results to the old system
run 73	P-8	rollout / cutover		4.0	Rollout to production traffic, cutover, readiness to decommission v1
run 73	P-8	PM		13.0	Project management and coordination — 1 FTE PM/scrum lead across the ~13–14-month delivery the 112 pm of work lines imply
run 73	P-9	immersion		10.0	Domain immersion, architecture and technology selection (DHT etc.), whole blended team
run 73	P-9	render workers	worker framework	4.0	Render-worker host: job intake, printer-driver harness, process isolation and crash recovery
run 73	P-9	render workers		10.0	Per-format renderers, 8–10 formats, each integrated and stabilised
run 73	P-9	OCR		5.0	OCR workers and TIFF→PDF conversion on a third-party library
run 73	P-9	delivery-control core		20.0	Cluster orchestrator: watchdogs + tokens, unordered status store, resume-on-failure, delivery control per fax
run 73	P-9	cluster management		6.0	Cluster runtime and management tool: dispatch over ~16–20 nodes on the private network, queue lengths, node state
run 73	P-9	NOC		8.0	NOC: state of remote PoPs, cluster, queues
run 73	P-9	portal		8.0	User portal (per-user configuration, fax history)
run 73	P-9	Tx parser		5.0	Inbound-email parser and Tx submission path (number extraction, attachments, archive assembly)
run 73	P-9	Rx path		5.0	Rx delivery path: per-user config, page-by-page TIFF or PDF attachment, outbound mail
run 73	P-9	old-system / reused integration		4.0	PoP transport and integration with the existing PoP software and the reused least-cost routing
run 73	P-9	data layer / API		7.0	Storage and data layer: Lustre archive and working files, DB schema, inter-component API
run 73	P-9	old-system / reused integration		5.0	Integration with the old system and coexistence for the transition
run 73	P-9	CDR		3.0	CDR and billing-data capture (billing itself excluded)
run 73	P-9	real-stream / load testing	worker framework	8.0	Integration-test harness on the real message stream with result comparison against the old system
run 73	P-9	load / burst rig (a built thing)		4.0	Load and burst rig to ~30/s nominal with ~300/s peak across 16–20 nodes, and tuning to it
run 73	P-9	rollout / cutover		4.0	Cutover: taking production traffic, stabilisation to decommission of v1
run 73	P-9	PM		16.0	Project management and coordination — one line: one PM-equivalent plus scrum ceremony ownership across the ~17 calendar months that 116 pm of work lines at seven delivery staff imply
run 73	P-10	immersion		12.0	Domain immersion, architecture and technology selection (DHT and alternatives), at the blended team's width
run 73	P-10	render workers	worker framework	5.0	Render worker host: printer-driver (Black Ice-class) harness, job intake, process isolation, crash recovery
run 73	P-10	render workers		10.0	Per-format renderers, 8–10 formats, each integrated and stabilised
run 73	P-10	OCR		5.0	OCR workers and TIFF→PDF conversion path on the third-party library
run 73	P-10	delivery-control core		24.0	Fax orchestrator: watchdogs + token store, status of every fax, resume after failure, distribution over the nodes (MQ excluded)
run 73	P-10	cluster management		6.0	Cluster management tool: queue lengths, node state, control
run 73	P-10	Rx path		5.0	Rx assembly and dispatch in the data centre: per-user configuration, page-wise TIFF or PDF, outbound mail
run 73	P-10	old-system / reused integration		6.0	PoP transport and integration with the existing PoP software and the reused least-cost routing
run 73	P-10	NOC		8.0	NOC: state of PoPs, cluster and queues, over the cluster tool's instrumentation
run 73	P-10	portal		9.0	User portal: per-user configuration and fax history, rebuilt against v1 as reference
run 73	P-10	Tx parser		6.0	Inbound-email parser (Tx): parse mail, extract fax number, take attachments, package the archive
run 73	P-10	data layer / API		8.0	Data layer: Lustre fax archive and working files, DB schema, inter-component API
run 73	P-10	CDR		3.0	CDR / billing-data capture (billing itself out)
run 73	P-10	real-stream / load testing	worker framework	10.0	Integration tests on the real stream with the comparison harness against the old system
run 73	P-10	old-system / reused integration		5.0	Coexistence with v1 through the transition (integration with the old system while both run)
run 73	P-10	load / burst rig (a built thing)		6.0	Load and burst rig to ~30/s nominal and ~300/s peak across 16–20 nodes and 10–20 PoPs, and tuning to it
run 73	P-10	rollout / cutover		5.0	Production rollout, cutover, readiness to decommission v1
run 73	P-10	PM		16.0	Project management and coordination (one line, Rule 3): one PM/scrum lead full-time across the ~16.5 calendar months the 133 pm of work lines imply at a delivery-side team of eight
